umap1,umap2,cat
21.624891,12.388784,Alaskan ultramafic
21.673733,12.331257,Alaskan ultramafic
21.799858,12.183595,Alaskan ultramafic
21.717653,12.265607,Alaskan ultramafic
21.767239,12.216656,Alaskan ultramafic
21.623068,12.383789,Alaskan ultramafic
21.711134,12.284135,Alaskan ultramafic
21.463665,12.571724,Alaskan ultramafic
21.631184,12.3862505,Alaskan ultramafic
4.7383447,6.1087813,Alaskan ultramafic
4.7219796,6.101301,Alaskan ultramafic
4.737969,6.115389,Alaskan ultramafic
4.739718,6.0724936,Alaskan ultramafic
21.871674,12.095669,Alaskan ultramafic
21.854488,12.116873,Alaskan ultramafic
21.882038,12.085369,Alaskan ultramafic
21.854063,12.1167965,Alaskan ultramafic
21.614231,12.404481,Alaskan ultramafic
21.464365,12.568917,Alaskan ultramafic
21.633076,12.382714,Alaskan ultramafic
21.549433,12.494057,Alaskan ultramafic
21.723139,12.276233,Alaskan ultramafic
21.682304,12.324093,Alaskan ultramafic
21.684216,12.323272,Alaskan ultramafic
21.591639,12.426739,Alaskan ultramafic
21.682684,12.320047,Alaskan ultramafic
21.729427,12.267432,Alaskan ultramafic
21.652464,12.3581085,Alaskan ultramafic
21.713049,12.290313,Alaskan ultramafic
21.673498,12.331598,Alaskan ultramafic
21.66815,12.338124,Alaskan ultramafic
21.592314,12.427633,Alaskan ultramafic
21.517859,12.509047,Alaskan ultramafic
21.562834,12.456273,Alaskan ultramafic
21.470575,12.560756,Alaskan ultramafic
21.678595,12.332616,Alaskan ultramafic
21.573467,12.447952,Alaskan ultramafic
21.476286,12.548398,Alaskan ultramafic
21.467474,12.5647545,Alaskan ultramafic
21.79841,12.182798,Alaskan ultramafic
21.80375,12.176558,Alaskan ultramafic
21.780027,12.204197,Alaskan ultramafic
21.787508,12.197513,Alaskan ultramafic
21.82426,12.159393,Alaskan ultramafic
21.775389,12.211986,Alaskan ultramafic
21.80107,12.181357,Alaskan ultramafic
21.777746,12.208132,Alaskan ultramafic
21.795082,12.186553,Alaskan ultramafic
21.80954,12.172888,Alaskan ultramafic
21.68357,12.319255,Alaskan ultramafic
21.686752,12.317472,Alaskan ultramafic
21.699932,12.305214,Alaskan ultramafic
21.49603,12.53208,Alaskan ultramafic
21.691809,12.312252,Alaskan ultramafic
21.501558,12.526815,Alaskan ultramafic
21.722431,12.277961,Alaskan ultramafic
21.706442,12.296074,Alaskan ultramafic
21.754278,12.2365,Alaskan ultramafic
21.708992,12.295093,Alaskan ultramafic
21.704523,12.296511,Alaskan ultramafic
21.656797,12.353725,Alaskan ultramafic
21.634401,12.378761,Alaskan ultramafic
21.669968,12.337536,Alaskan ultramafic
21.532967,12.490232,Alaskan ultramafic
21.814127,12.165568,Alaskan ultramafic
21.82165,12.156836,Alaskan ultramafic
21.81985,12.159086,Alaskan ultramafic
21.80346,12.178313,Alaskan ultramafic
21.809109,12.172051,Alaskan ultramafic
21.84492,12.126031,Alaskan ultramafic
21.84047,12.133008,Alaskan ultramafic
21.820541,12.1579,Alaskan ultramafic
21.842112,12.134118,Alaskan ultramafic
5.016724,14.623863,Alaskan ultramafic
21.842548,12.130895,Alaskan ultramafic
21.857637,12.110099,Alaskan ultramafic
21.869259,12.097823,Alaskan ultramafic
21.623987,12.395202,Alaskan ultramafic
21.572325,12.456566,Alaskan ultramafic
21.611006,12.40777,Alaskan ultramafic
21.621344,12.39303,Alaskan ultramafic
21.629442,12.388838,Alaskan ultramafic
21.632421,12.413331,Alaskan ultramafic
21.772446,12.208219,Alaskan ultramafic
21.761093,12.222993,Alaskan ultramafic
21.72421,12.255585,Alaskan ultramafic
21.778263,12.20191,Alaskan ultramafic
21.773651,12.217116,Alaskan ultramafic
21.733753,12.255554,Alaskan ultramafic
21.760283,12.223247,Alaskan ultramafic
21.762522,12.217654,Alaskan ultramafic
21.775782,12.207378,Alaskan ultramafic
21.675823,12.333107,Alaskan ultramafic
21.503254,12.527448,Alaskan ultramafic
21.454397,12.581003,Alaskan ultramafic
21.42906,12.6035795,Alaskan ultramafic
21.415073,12.620637,Alaskan ultramafic
21.446747,12.586148,Alaskan ultramafic
21.54992,12.472185,Alaskan ultramafic
21.558695,12.473356,Alaskan ultramafic
21.57879,12.444092,Alaskan ultramafic
21.578104,12.450682,Alaskan ultramafic
4.9983835,14.463844,Alaskan ultramafic
21.531723,12.49629,Alaskan ultramafic
21.493013,12.537268,Alaskan ultramafic
21.432493,12.598976,Alaskan ultramafic
21.44966,12.58446,Alaskan ultramafic
21.468533,12.569363,Alaskan ultramafic
21.507486,12.548663,Alaskan ultramafic
21.486952,12.544225,Alaskan ultramafic
21.486835,12.546816,Alaskan ultramafic
21.45642,12.575328,Alaskan ultramafic
21.46519,12.569174,Alaskan ultramafic
21.555676,12.47162,Alaskan ultramafic
21.507278,12.51711,Alaskan ultramafic
21.466175,12.566477,Alaskan ultramafic
21.47653,12.552171,Alaskan ultramafic
21.448057,12.57693,Alaskan ultramafic
21.573925,12.454234,Alaskan ultramafic
21.479486,12.550459,Alaskan ultramafic
21.494959,12.535203,Alaskan ultramafic
21.64571,12.366617,Alaskan ultramafic
21.584438,12.432587,Alaskan ultramafic
21.638756,12.373093,Alaskan ultramafic
21.652266,12.351243,Alaskan ultramafic
21.76883,12.220014,Alaskan ultramafic
21.737577,12.250833,Alaskan ultramafic
21.589506,12.432925,Alaskan ultramafic
21.580013,12.443708,Alaskan ultramafic
21.617937,12.401868,Alaskan ultramafic
21.597622,12.4228115,Alaskan ultramafic
21.585752,12.437443,Alaskan ultramafic
21.542337,12.479954,Alaskan ultramafic
21.474457,12.55473,Alaskan ultramafic
21.476086,12.547137,Alaskan ultramafic
21.61966,12.394623,Alaskan ultramafic
21.578133,12.4458065,Alaskan ultramafic
21.568256,12.455562,Alaskan ultramafic
21.497023,12.533301,Alaskan ultramafic
21.520605,12.508284,Alaskan ultramafic
21.441769,12.56733,Alaskan ultramafic
21.642565,12.359967,Alaskan ultramafic
21.626303,12.3863325,Alaskan ultramafic
21.725834,12.26437,Alaskan ultramafic
21.71134,12.283408,Alaskan ultramafic
21.70102,12.294501,Alaskan ultramafic
21.584322,12.438536,Alaskan ultramafic
21.659937,12.345324,Alaskan ultramafic
21.519688,12.506417,Alaskan ultramafic
21.48528,12.544243,Alaskan ultramafic
21.503637,12.529514,Alaskan ultramafic
21.456785,12.577239,Alaskan ultramafic
21.458384,12.565712,Alaskan ultramafic
21.440985,12.598557,Alaskan ultramafic
21.473974,12.553093,Alaskan ultramafic
21.442057,12.596517,Alaskan ultramafic
21.412533,12.613528,Alaskan ultramafic
21.465843,12.565692,Alaskan ultramafic
21.479992,12.553671,Alaskan ultramafic
21.449614,12.588354,Alaskan ultramafic
-2.515119,1.9141891,Alaskan ultramafic
21.453915,12.588578,Alaskan ultramafic
21.465214,12.566177,Alaskan ultramafic
21.46257,12.57144,Alaskan ultramafic
