umap1,umap2,cat
-7.354864,-3.49794,Alaskan ultramafic
-7.6254,-3.2933285,Alaskan ultramafic
-7.5042276,-3.4127178,Alaskan ultramafic
-7.7982535,-3.1222842,Alaskan ultramafic
-7.793663,-3.1266282,Alaskan ultramafic
-7.820355,-3.101712,Alaskan ultramafic
-7.6331415,-3.2855852,Alaskan ultramafic
-7.7559342,-3.1647246,Alaskan ultramafic
-7.7759275,-3.1439574,Alaskan ultramafic
-7.719066,-3.2078452,Alaskan ultramafic
-7.7079134,-3.2098007,Alaskan ultramafic
-7.7694416,-3.1485434,Alaskan ultramafic
-7.7225914,-3.197457,Alaskan ultramafic
-7.5933676,-3.3249192,Alaskan ultramafic
-7.394634,-3.5240657,Alaskan ultramafic
-7.57563,-3.3428965,Alaskan ultramafic
-7.4542375,-3.4609432,Alaskan ultramafic
-7.6614695,-3.2585964,Alaskan ultramafic
-7.524121,-3.3903522,Alaskan ultramafic
-7.5135345,-3.402788,Alaskan ultramafic
-7.423852,-3.485061,Alaskan ultramafic
-7.9179244,-3.0016196,Alaskan ultramafic
-7.940845,-2.977836,Alaskan ultramafic
-7.8946385,-3.023573,Alaskan ultramafic
-7.877662,-3.0417476,Alaskan ultramafic
-7.924946,-2.9926405,Alaskan ultramafic
-7.808671,-3.1113784,Alaskan ultramafic
-7.9114914,-3.007401,Alaskan ultramafic
-7.895768,-3.0238233,Alaskan ultramafic
-7.8887415,-3.0297196,Alaskan ultramafic
-7.9667025,-2.9529245,Alaskan ultramafic
-7.7381372,-3.1823514,Alaskan ultramafic
-7.760531,-3.1599689,Alaskan ultramafic
-7.7656884,-3.1553483,Alaskan ultramafic
-7.5127277,-3.4015126,Alaskan ultramafic
-7.7753716,-3.1456866,Alaskan ultramafic
-7.473275,-3.4408855,Alaskan ultramafic
-7.778465,-3.1424663,Alaskan ultramafic
-7.7543893,-3.166283,Alaskan ultramafic
-7.836662,-3.0833719,Alaskan ultramafic
-7.7352753,-3.1840644,Alaskan ultramafic
-7.7600756,-3.1591072,Alaskan ultramafic
-7.6965976,-3.2224553,Alaskan ultramafic
-7.6775146,-3.2420385,Alaskan ultramafic
-7.7165675,-3.2021773,Alaskan ultramafic
-7.473525,-3.4435637,Alaskan ultramafic
-7.963854,-2.9557767,Alaskan ultramafic
-7.9768105,-2.942187,Alaskan ultramafic
-7.956157,-2.9635653,Alaskan ultramafic
-7.9463315,-2.969379,Alaskan ultramafic
-7.9157996,-3.003294,Alaskan ultramafic
-8.077997,-2.8328013,Alaskan ultramafic
-8.009708,-2.9081893,Alaskan ultramafic
-7.9603667,-2.9586053,Alaskan ultramafic
-8.006228,-2.9124372,Alaskan ultramafic
2.7545586,-2.8832603,Alaskan ultramafic
-8.044903,-2.8722088,Alaskan ultramafic
-8.000329,-2.9134347,Alaskan ultramafic
-8.069829,-2.8460166,Alaskan ultramafic
-7.682329,-3.235509,Alaskan ultramafic
-7.654718,-3.26335,Alaskan ultramafic
-7.629498,-3.2882702,Alaskan ultramafic
-7.674941,-3.241716,Alaskan ultramafic
-7.596457,-3.320505,Alaskan ultramafic
-7.576736,-3.3420572,Alaskan ultramafic
-7.8633037,-3.0543363,Alaskan ultramafic
-7.866639,-3.0506763,Alaskan ultramafic
-7.861393,-3.0482135,Alaskan ultramafic
-7.9226027,-2.9874146,Alaskan ultramafic
-7.8524466,-3.0636177,Alaskan ultramafic
-7.869998,-3.0469525,Alaskan ultramafic
-7.874111,-3.0407872,Alaskan ultramafic
-7.87173,-3.0417266,Alaskan ultramafic
-7.890407,-3.0267255,Alaskan ultramafic
-7.645825,-3.2720158,Alaskan ultramafic
-7.4561667,-3.4594166,Alaskan ultramafic
-7.4546885,-3.4610484,Alaskan ultramafic
-7.435351,-3.4797442,Alaskan ultramafic
-7.392299,-3.5205414,Alaskan ultramafic
-7.388145,-3.5255487,Alaskan ultramafic
-7.5711308,-3.3455472,Alaskan ultramafic
-7.5779314,-3.3405755,Alaskan ultramafic
-7.546015,-3.3714314,Alaskan ultramafic
-7.562718,-3.3560047,Alaskan ultramafic
3.0833638,-2.717051,Alaskan ultramafic
-7.5230474,-3.39516,Alaskan ultramafic
-7.4692593,-3.446798,Alaskan ultramafic
-7.4139566,-3.5020375,Alaskan ultramafic
-7.4334245,-3.4810357,Alaskan ultramafic
-7.4385676,-3.4755256,Alaskan ultramafic
-7.3967056,-3.5291696,Alaskan ultramafic
-7.439804,-3.475787,Alaskan ultramafic
-7.3814125,-3.5301285,Alaskan ultramafic
-7.414734,-3.5000556,Alaskan ultramafic
-7.418449,-3.492257,Alaskan ultramafic
-7.5269866,-3.3905845,Alaskan ultramafic
-7.5261307,-3.3884196,Alaskan ultramafic
-7.4048963,-3.5099344,Alaskan ultramafic
-7.454533,-3.4567297,Alaskan ultramafic
