umap1,umap2,cat
13.910541,6.7025075,Alaskan ultramafic
12.530648,7.257559,Alaskan ultramafic
16.431616,-3.0342152,Alaskan ultramafic
12.937069,7.5588856,Alaskan ultramafic
12.461212,7.0025697,Alaskan ultramafic
11.5180235,8.574175,Alaskan ultramafic
16.445154,-3.0312412,Alaskan ultramafic
12.7522955,7.3371763,Alaskan ultramafic
11.64613,8.472505,Alaskan ultramafic
11.422458,8.616646,Alaskan ultramafic
12.022434,7.032904,Alaskan ultramafic
16.424139,-3.032697,Alaskan ultramafic
12.015703,7.1032696,Alaskan ultramafic
13.096086,7.713692,Alaskan ultramafic
13.126337,7.921405,Alaskan ultramafic
12.039898,7.0167313,Alaskan ultramafic
5.70256,10.484725,Alaskan ultramafic
5.7158327,10.475668,Alaskan ultramafic
5.7162266,10.474132,Alaskan ultramafic
12.63989,7.0020924,Alaskan ultramafic
12.088466,7.010173,Alaskan ultramafic
5.740769,10.470694,Alaskan ultramafic
5.70725,10.490854,Alaskan ultramafic
16.554922,-6.2433863,Alaskan ultramafic
12.049184,7.0082417,Alaskan ultramafic
12.014099,6.934316,Alaskan ultramafic
12.059446,6.996321,Alaskan ultramafic
16.428583,-3.0731785,Alaskan ultramafic
16.423956,-3.0411448,Alaskan ultramafic
16.424885,-3.0270162,Alaskan ultramafic
16.47427,-5.983789,Alaskan ultramafic
10.984851,2.5721023,Alaskan ultramafic
14.695236,-7.71648,Alaskan ultramafic
9.25291,7.9645514,Alaskan ultramafic
1.234911,11.996921,Alaskan ultramafic
7.4789047,10.115384,Alaskan ultramafic
7.701215,10.258414,Alaskan ultramafic
7.0058064,5.6241817,Alaskan ultramafic
15.724142,-8.376593,Alaskan ultramafic
7.009898,5.624833,Alaskan ultramafic
15.768436,-8.345158,Alaskan ultramafic
18.916588,-4.824802,Alaskan ultramafic
15.766405,-8.342214,Alaskan ultramafic
12.4366255,14.488193,Alaskan ultramafic
1.2504638,2.1116285,Alaskan ultramafic
1.2327722,2.1054084,Alaskan ultramafic
4.070768,9.672043,Alaskan ultramafic
4.055062,9.651939,Alaskan ultramafic
4.061581,9.646272,Alaskan ultramafic
4.0341806,9.682946,Alaskan ultramafic
18.6345,2.7166543,Alaskan ultramafic
18.803062,2.8792403,Alaskan ultramafic
18.81493,2.9587839,Alaskan ultramafic
18.726194,2.7722652,Alaskan ultramafic
18.70497,2.6710784,Alaskan ultramafic
18.791613,2.654822,Alaskan ultramafic
-2.0583322,17.11861,Alaskan ultramafic
7.4934115,12.367537,Alaskan ultramafic
7.4814253,12.386171,Alaskan ultramafic
7.586432,12.270522,Alaskan ultramafic
7.624803,12.201133,Alaskan ultramafic
7.652587,12.185077,Alaskan ultramafic
7.495325,12.360166,Alaskan ultramafic
18.609556,2.7238042,Alaskan ultramafic
18.800913,3.3636873,Alaskan ultramafic
7.61994,12.23236,Alaskan ultramafic
4.2860293,9.3269415,Alaskan ultramafic
4.347553,9.272299,Alaskan ultramafic
4.299077,9.32309,Alaskan ultramafic
4.387055,9.220195,Alaskan ultramafic
4.4041166,9.202802,Alaskan ultramafic
4.3830004,9.1963,Alaskan ultramafic
4.3832264,9.228438,Alaskan ultramafic
4.392977,9.219744,Alaskan ultramafic
4.3791285,9.227362,Alaskan ultramafic
1.4001873,12.087479,Alaskan ultramafic
0.9242575,9.734848,Alaskan ultramafic
-0.56845427,9.472095,Alaskan ultramafic
-1.6693285,9.960124,Alaskan ultramafic
-1.3973588,10.044627,Alaskan ultramafic
-2.2732322,10.081876,Alaskan ultramafic
-1.2820045,10.020358,Alaskan ultramafic
-3.1923916,10.413252,Alaskan ultramafic
-3.2224894,10.416972,Alaskan ultramafic
-3.000111,10.292756,Alaskan ultramafic
-2.1359758,9.981666,Alaskan ultramafic
-0.6226121,9.535526,Alaskan ultramafic
-0.9231895,9.592588,Alaskan ultramafic
