umap1,umap2,cat
10.223636,-1.1332647,Alaskan ultramafic
10.10036,3.9579194,Alaskan ultramafic
12.300004,-0.9465044,Alaskan ultramafic
10.035468,3.7943163,Alaskan ultramafic
9.707059,4.0606046,Alaskan ultramafic
8.570209,4.7225394,Alaskan ultramafic
12.288977,-0.94866866,Alaskan ultramafic
9.979652,3.844901,Alaskan ultramafic
8.603485,4.608118,Alaskan ultramafic
8.543102,4.7847376,Alaskan ultramafic
9.865943,4.0331264,Alaskan ultramafic
12.325259,-0.8953328,Alaskan ultramafic
9.702219,4.1396203,Alaskan ultramafic
10.048257,3.8327286,Alaskan ultramafic
9.824174,4.0048313,Alaskan ultramafic
9.599741,4.0491934,Alaskan ultramafic
8.794834,4.489838,Alaskan ultramafic
8.845804,4.4481387,Alaskan ultramafic
8.771124,4.408432,Alaskan ultramafic
9.753629,3.7484422,Alaskan ultramafic
9.868879,4.0716834,Alaskan ultramafic
8.807328,4.5877104,Alaskan ultramafic
8.815859,4.6402926,Alaskan ultramafic
15.747534,-2.6208117,Alaskan ultramafic
9.851699,4.08385,Alaskan ultramafic
9.8160305,4.098785,Alaskan ultramafic
9.826802,4.045439,Alaskan ultramafic
12.272437,-0.9342162,Alaskan ultramafic
12.2913685,-0.93287414,Alaskan ultramafic
12.282178,-0.92985547,Alaskan ultramafic
15.611005,-2.3308022,Alaskan ultramafic
10.6409,10.774776,Alaskan ultramafic
13.966506,-4.0718102,Alaskan ultramafic
6.0116715,2.934641,Alaskan ultramafic
-0.12460004,8.08482,Alaskan ultramafic
5.3457775,6.326169,Alaskan ultramafic
5.3421984,6.3330812,Alaskan ultramafic
6.1608076,12.989935,Alaskan ultramafic
15.282052,-4.8138905,Alaskan ultramafic
6.1623783,12.98898,Alaskan ultramafic
15.361161,-4.808485,Alaskan ultramafic
18.109838,-1.3371975,Alaskan ultramafic
15.378288,-4.795459,Alaskan ultramafic
7.997508,11.580686,Alaskan ultramafic
6.190488,8.065241,Alaskan ultramafic
6.205589,8.041248,Alaskan ultramafic
6.2133636,8.062935,Alaskan ultramafic
6.220407,8.071175,Alaskan ultramafic
9.604697,-1.4584328,Alaskan ultramafic
9.491041,-1.2337806,Alaskan ultramafic
9.4580555,-1.2179977,Alaskan ultramafic
9.53332,-1.287463,Alaskan ultramafic
9.657961,-1.3489392,Alaskan ultramafic
9.760081,-1.3320268,Alaskan ultramafic
-5.0761704,13.990252,Alaskan ultramafic
7.9293714,7.174156,Alaskan ultramafic
7.922116,7.179288,Alaskan ultramafic
7.952824,7.102609,Alaskan ultramafic
7.9642544,7.1192555,Alaskan ultramafic
7.9591064,7.1103363,Alaskan ultramafic
7.9333053,7.157628,Alaskan ultramafic
9.528961,-1.4484868,Alaskan ultramafic
9.09812,-0.9269406,Alaskan ultramafic
7.953211,7.1157923,Alaskan ultramafic
-1.6493586,8.404195,Alaskan ultramafic
-1.5340939,8.373366,Alaskan ultramafic
-1.6129282,8.392685,Alaskan ultramafic
-1.481907,8.476715,Alaskan ultramafic
-1.4191864,8.593032,Alaskan ultramafic
-1.4562426,8.540846,Alaskan ultramafic
-1.5556812,8.487885,Alaskan ultramafic
-1.4298655,8.555215,Alaskan ultramafic
-1.4667969,8.509805,Alaskan ultramafic
-0.09531721,7.9835796,Alaskan ultramafic
0.22627561,5.8786707,Alaskan ultramafic
-1.2111701,5.891324,Alaskan ultramafic
-2.2169993,6.017429,Alaskan ultramafic
-1.9535189,6.318491,Alaskan ultramafic
-2.8459437,5.8920536,Alaskan ultramafic
-1.9723176,6.2875805,Alaskan ultramafic
-3.401653,6.035807,Alaskan ultramafic
-3.46357,5.997662,Alaskan ultramafic
-3.4084074,5.962111,Alaskan ultramafic
-2.796573,5.969682,Alaskan ultramafic
-1.3302352,5.9258122,Alaskan ultramafic
-1.5219107,5.827262,Alaskan ultramafic
-3.3084173,5.966852,Alaskan ultramafic
0.13804835,5.8602557,Alaskan ultramafic
0.2508149,5.906807,Alaskan ultramafic
-2.2407117,6.17682,Alaskan ultramafic
-2.0621364,6.1828046,Alaskan ultramafic
-3.4146738,6.0101957,Alaskan ultramafic
-3.4015143,6.0035934,Alaskan ultramafic
-2.374437,6.1054025,Alaskan ultramafic
-2.4611692,5.9767785,Alaskan ultramafic
-3.3947427,5.9831257,Alaskan ultramafic
-1.3487171,5.8449583,Alaskan ultramafic
-3.5056944,5.9491405,Alaskan ultramafic
-3.364727,6.029569,Alaskan ultramafic
-3.4901063,5.9645853,Alaskan ultramafic
-3.6037683,5.987015,Alaskan ultramafic
-3.5926719,6.0177207,Alaskan ultramafic
-3.4147367,5.9891005,Alaskan ultramafic
-3.5675852,5.9908943,Alaskan ultramafic
-3.514683,5.9711156,Alaskan ultramafic
-3.5546317,5.9790006,Alaskan ultramafic
-3.5648525,5.9785557,Alaskan ultramafic
-3.4836693,5.9819016,Alaskan ultramafic
-3.2213013,5.9534454,Alaskan ultramafic
-3.2698913,5.9722333,Alaskan ultramafic
-3.5229213,5.9603415,Alaskan ultramafic
-3.314165,5.9492207,Alaskan ultramafic
-3.5626557,5.967911,Alaskan ultramafic
-3.4936779,5.960089,Alaskan ultramafic
-3.4061408,5.948045,Alaskan ultramafic
-3.3620477,5.9951115,Alaskan ultramafic
-4.7942576,13.895161,Alaskan ultramafic
-5.762961,12.472926,Alaskan ultramafic
-2.0947807,6.0688,Alaskan ultramafic
-3.332251,5.9721518,Alaskan ultramafic
9.576188,-1.3266325,Alaskan ultramafic
9.711501,-1.3858359,Alaskan ultramafic
9.45027,-1.2595248,Alaskan ultramafic
9.718591,-1.3371431,Alaskan ultramafic
