umap1,umap2,cat
-2.3664086,-0.30763885,Alaskan ultramafic
-0.9496607,-0.86978525,Alaskan ultramafic
-6.67735,0.114888325,Alaskan ultramafic
-1.4670081,-1.2422507,Alaskan ultramafic
-0.5644027,-0.73140097,Alaskan ultramafic
0.49155816,-1.789754,Alaskan ultramafic
-6.6694536,0.11682899,Alaskan ultramafic
-1.0830499,-0.9977237,Alaskan ultramafic
0.2683905,-1.8567412,Alaskan ultramafic
0.5925393,-1.7706077,Alaskan ultramafic
-0.2821448,-0.92817,Alaskan ultramafic
-6.6584787,0.12759866,Alaskan ultramafic
-0.20068976,-0.8812972,Alaskan ultramafic
-1.5188977,-1.2979137,Alaskan ultramafic
-1.0412194,-1.4853617,Alaskan ultramafic
-0.42580277,-0.84554464,Alaskan ultramafic
3.8682308,1.3745959,Alaskan ultramafic
3.852902,1.3389498,Alaskan ultramafic
3.8950007,1.3715208,Alaskan ultramafic
-0.7500743,-0.7776482,Alaskan ultramafic
-0.36584455,-0.9116852,Alaskan ultramafic
3.7533207,1.334753,Alaskan ultramafic
3.7814925,1.337956,Alaskan ultramafic
-9.258453,1.4482007,Alaskan ultramafic
-0.29493052,-0.94402766,Alaskan ultramafic
-0.3113319,-0.93543005,Alaskan ultramafic
-0.31074294,-0.9464724,Alaskan ultramafic
-6.6230617,0.118397355,Alaskan ultramafic
-6.6823874,0.12519206,Alaskan ultramafic
-6.6502814,0.13258733,Alaskan ultramafic
-9.807137,1.0852479,Alaskan ultramafic
-2.263452,7.0980597,Alaskan ultramafic
-10.71981,3.38026,Alaskan ultramafic
1.53509,-2.7398634,Alaskan ultramafic
8.424853,-0.6939708,Alaskan ultramafic
4.5167794,-4.2701654,Alaskan ultramafic
4.4285574,-4.320865,Alaskan ultramafic
1.1744128,2.2228806,Alaskan ultramafic
-11.602463,2.5330517,Alaskan ultramafic
1.1707529,2.2188544,Alaskan ultramafic
-11.645917,2.446541,Alaskan ultramafic
-9.5756645,-1.3532429,Alaskan ultramafic
-11.627499,2.45418,Alaskan ultramafic
3.6957736,-9.513649,Alaskan ultramafic
9.469662,3.696446,Alaskan ultramafic
9.476634,3.6803784,Alaskan ultramafic
9.4752245,3.6812253,Alaskan ultramafic
9.483947,3.6671293,Alaskan ultramafic
-5.9960203,0.4727025,Alaskan ultramafic
-5.7058773,0.5613588,Alaskan ultramafic
-5.6926427,0.6145389,Alaskan ultramafic
-5.779203,0.55853045,Alaskan ultramafic
-5.879239,0.4242566,Alaskan ultramafic
-5.8230915,0.2701448,Alaskan ultramafic
13.237971,-4.435661,Alaskan ultramafic
-5.407634,1.6502857,Alaskan ultramafic
-5.4086523,1.6539084,Alaskan ultramafic
-5.41607,1.5242667,Alaskan ultramafic
-5.4044037,1.5995885,Alaskan ultramafic
-5.4174447,1.546765,Alaskan ultramafic
-5.417646,1.6075057,Alaskan ultramafic
-5.987343,0.48412752,Alaskan ultramafic
-5.492826,1.1017467,Alaskan ultramafic
-5.4182367,1.5413423,Alaskan ultramafic
9.428734,0.22857001,Alaskan ultramafic
9.235438,0.271673,Alaskan ultramafic
9.387252,0.19938259,Alaskan ultramafic
9.061548,0.26379916,Alaskan ultramafic
8.974331,0.17926198,Alaskan ultramafic
9.00941,0.24849412,Alaskan ultramafic
9.114936,0.31228608,Alaskan ultramafic
9.0394335,0.29609475,Alaskan ultramafic
9.013659,0.27489373,Alaskan ultramafic
8.484161,-0.74431795,Alaskan ultramafic
10.161012,-2.1273024,Alaskan ultramafic
10.845323,-0.6647357,Alaskan ultramafic
11.047093,0.6906903,Alaskan ultramafic
10.726676,0.7091469,Alaskan ultramafic
11.261534,1.4799294,Alaskan ultramafic
10.749003,0.7951044,Alaskan ultramafic
11.599568,2.428588,Alaskan ultramafic
11.7213,2.445401,Alaskan ultramafic
11.509246,2.2159934,Alaskan ultramafic
11.188634,1.214664,Alaskan ultramafic
10.900471,-0.5948171,Alaskan ultramafic
11.047965,-0.41446233,Alaskan ultramafic
11.540188,2.1805975,Alaskan ultramafic
10.1414385,-2.0567765,Alaskan ultramafic
10.134235,-2.1546996,Alaskan ultramafic
10.955709,0.9565761,Alaskan ultramafic
10.922869,0.7769591,Alaskan ultramafic
11.650071,2.4077966,Alaskan ultramafic
11.65173,2.3834944,Alaskan ultramafic
11.094671,1.1703947,Alaskan ultramafic
11.147789,0.951424,Alaskan ultramafic
11.538729,2.2454364,Alaskan ultramafic
10.964462,-0.5380434,Alaskan ultramafic
