umap1,umap2,cat
11.513857,8.462405,Alaskan ultramafic
10.894244,8.860459,Alaskan ultramafic
16.440723,1.8135256,Alaskan ultramafic
10.875298,9.357186,Alaskan ultramafic
9.878009,8.820901,Alaskan ultramafic
6.526879,10.578276,Alaskan ultramafic
16.45871,1.8144466,Alaskan ultramafic
10.759008,9.270358,Alaskan ultramafic
6.699971,10.56651,Alaskan ultramafic
6.531195,10.612373,Alaskan ultramafic
9.3977995,9.329941,Alaskan ultramafic
16.392931,1.8615091,Alaskan ultramafic
9.590017,9.314568,Alaskan ultramafic
10.98516,9.343639,Alaskan ultramafic
10.39705,9.700605,Alaskan ultramafic
9.795042,9.318141,Alaskan ultramafic
4.2120523,11.920727,Alaskan ultramafic
4.1848097,11.937003,Alaskan ultramafic
4.2431607,11.916495,Alaskan ultramafic
10.236801,9.300347,Alaskan ultramafic
9.349073,9.288077,Alaskan ultramafic
5.0910716,10.033593,Alaskan ultramafic
5.0229206,9.999109,Alaskan ultramafic
18.095934,0.013591897,Alaskan ultramafic
9.39651,9.302937,Alaskan ultramafic
9.34846,9.335211,Alaskan ultramafic
9.33411,9.321966,Alaskan ultramafic
16.434317,1.8195498,Alaskan ultramafic
16.441095,1.8137691,Alaskan ultramafic
16.433098,1.8185666,Alaskan ultramafic
18.49262,0.040498648,Alaskan ultramafic
5.3906317,0.71582067,Alaskan ultramafic
16.405363,-1.9677774,Alaskan ultramafic
1.4489243,7.0214944,Alaskan ultramafic
-0.19416986,15.795582,Alaskan ultramafic
1.747199,11.817133,Alaskan ultramafic
2.47013,11.9025135,Alaskan ultramafic
3.9813008,2.9666352,Alaskan ultramafic
17.905724,-2.6333027,Alaskan ultramafic
3.9826205,2.96443,Alaskan ultramafic
17.969572,-2.6644368,Alaskan ultramafic
18.880766,3.1450193,Alaskan ultramafic
17.996431,-2.6338835,Alaskan ultramafic
7.70721,17.570799,Alaskan ultramafic
-0.0070446837,15.353256,Alaskan ultramafic
0.034861397,15.37564,Alaskan ultramafic
0.101889625,15.341475,Alaskan ultramafic
0.038108345,15.347557,Alaskan ultramafic
20.325018,10.524143,Alaskan ultramafic
20.209059,10.98356,Alaskan ultramafic
20.195547,10.993189,Alaskan ultramafic
20.22955,10.905846,Alaskan ultramafic
20.495062,10.883273,Alaskan ultramafic
20.601898,10.885102,Alaskan ultramafic
1.822088,14.799629,Alaskan ultramafic
3.577956,17.846092,Alaskan ultramafic
3.5616577,17.825487,Alaskan ultramafic
3.6019962,17.864992,Alaskan ultramafic
3.5882816,17.88423,Alaskan ultramafic
3.599761,17.878588,Alaskan ultramafic
3.5828538,17.856277,Alaskan ultramafic
20.295544,10.478253,Alaskan ultramafic
19.51096,11.061649,Alaskan ultramafic
3.5972445,17.880732,Alaskan ultramafic
-1.2616618,16.825933,Alaskan ultramafic
-1.1917357,16.735863,Alaskan ultramafic
-1.189689,16.80956,Alaskan ultramafic
-0.8580859,16.629435,Alaskan ultramafic
-0.77312493,16.637796,Alaskan ultramafic
-0.7869659,16.67885,Alaskan ultramafic
-0.9778444,16.694616,Alaskan ultramafic
-0.83284676,16.63133,Alaskan ultramafic
-0.839434,16.62875,Alaskan ultramafic
0.008916071,15.924121,Alaskan ultramafic
0.14185284,12.103647,Alaskan ultramafic
-1.9414275,12.583283,Alaskan ultramafic
-2.8451807,12.954443,Alaskan ultramafic
-2.3599114,13.618222,Alaskan ultramafic
-3.3755674,13.302202,Alaskan ultramafic
-2.3755891,13.582088,Alaskan ultramafic
-4.2689824,13.768927,Alaskan ultramafic
-4.281928,13.70877,Alaskan ultramafic
-4.080949,13.595834,Alaskan ultramafic
-3.1141753,13.069543,Alaskan ultramafic
-2.0024736,12.648004,Alaskan ultramafic
-2.1818793,12.58481,Alaskan ultramafic
-4.052705,13.575395,Alaskan ultramafic
-0.4187712,12.409527,Alaskan ultramafic
0.17738868,12.156497,Alaskan ultramafic
-3.1508968,13.403893,Alaskan ultramafic
-2.4061391,13.514614,Alaskan ultramafic
-4.330968,13.68579,Alaskan ultramafic
-4.27934,13.696545,Alaskan ultramafic
-3.2466857,13.326708,Alaskan ultramafic
-2.9829526,13.022687,Alaskan ultramafic
-4.122033,13.618885,Alaskan ultramafic
-2.033066,12.546483,Alaskan ultramafic
-4.3651223,13.736554,Alaskan ultramafic
-4.1394644,13.644236,Alaskan ultramafic
-4.4288673,13.788424,Alaskan ultramafic
-4.48007,13.800059,Alaskan ultramafic
-4.4150295,13.73897,Alaskan ultramafic
-4.191415,13.737255,Alaskan ultramafic
-4.4569616,13.7705765,Alaskan ultramafic
-4.431204,13.718567,Alaskan ultramafic
-4.4134073,13.750656,Alaskan ultramafic
